Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.B.170321_0040.C.063637.061035N3413.0060.nh.fits,2017-03-21T00:40:00.000,C,0,445.027824074,92.6547596652,-34.1410813423,23.7543198098,2.69267283021,20.6707642727,0.40949095867,22.3622536573
N2188-1.Q2.B.170211_1341.A.044453.061035N3413.0060.nh.fits,2017-02-11T13:41:00.000,A,1,407.570300926,92.654838446,-34.1412283428,28.8274133006,2.28506476167,20.4595978271,0.482445124061,19.6762715118
N2188-1.Q2.B.161201_0728.C.040384.061035N3413.0060.nh.fits,2016-12-01T07:28:00.000,C,2,335.311550926,92.6545787976,-34.1414406931,2.96525674576,1.41352565721,22.9408091778,0.780221446771,21.9501928512
N2188-1.Q2.B.161208_0705.C.042079.061035N3413.0060.nh.fits,2016-12-08T07:05:00.000,C,3,342.295162037,92.6549551397,-34.1418084574,6.91925968336,2.24387978265,22.0163998907,0.491277544608,21.9273654893
N2188-1.Q2.B.170115_1928.S.050841.061035N3413.0060.nh.fits,2017-01-15T19:28:00.000,S,4,380.811574074,92.6547818574,-34.1411359356,66.115810119,2.8297500355,19.5540227086,0.389674753768,21.6242412643
N2188-1.Q2.B.170418_1818.S.005279.061035N3413.0060.nh.fits,2017-04-18T18:18:00.000,S,5,473.762696759,92.6548076871,-34.1410637332,5.35190428198,2.18276297416,22.2966167379,0.505006136102,22.1653859875
N2188-1.Q2.B.161219_2142.S.046978.061035N3413.0060.nh.fits,2016-12-19T21:42:00.000,S,6,353.904479167,92.6548026742,-34.1411162334,-3.26927095459,-1.65123254737,nan,nan,22.1357241733
N2188-1.Q2.B.170428_1733.S.007979.061035N3413.0060.nh.fits,2017-04-28T17:33:00.000,S,7,483.731469907,92.6545814799,-34.1413682211,3.15613659484,1.55697715902,22.8727503353,0.70801913192,21.9720682872
N2188-1.Q2.B.170111_0215.C.048556.061035N3413.0060.nh.fits,2017-01-11T02:15:00.000,C,8,376.094178241,92.6547565675,-34.1411052168,72.7768830826,2.8555768319,19.4493021316,0.387340593422,21.4658416349
N2188-1.Q2.B.170131_1924.S.053838.061035N3413.0060.nh.fits,2017-01-31T19:24:00.000,S,9,396.808564815,92.6547423117,-34.1410933688,43.628770012,2.63311173014,20.0075199825,0.418789195965,21.9191889113
N2188-1.Q2.B.170206_2016.S.055044.061035N3413.0060.nh.fits,2017-02-06T20:16:00.000,S,10,402.844837963,92.6547671143,-34.1411148549,40.6392480027,2.66233609072,20.0849581762,0.414235045118,21.4623328427
N2188-1.Q2.B.170505_2349.C.010178.061035N3413.0060.nh.fits,2017-05-05T23:49:00.000,C,11,490.993043981,92.6551415011,-34.1415374268,5.09431067114,1.48477257631,22.3504310906,0.742348079223,21.4448117578
N2188-1.Q2.B.170318_0129.C.062854.061035N3413.0060.nh.fits,2017-03-18T01:29:00.000,C,12,442.061840278,92.6547257814,-34.1410940605,24.0548368107,2.72329117401,20.6570492154,0.406113294363,21.4683432251
N2188-1.Q2.B.161218_0700.C.043664.061035N3413.0060.nh.fits,2016-12-18T07:00:00.000,C,13,352.292118056,92.6548126844,-34.1411246311,-5.6737518034,-1.45123799853,nan,nan,21.5052513209
N2188-1.Q2.B.161220_0111.S.047071.061035N3413.0060.nh.fits,2016-12-20T01:11:00.000,S,14,354.04962963,92.6548296727,-34.1415548633,10.5914125681,2.02898995644,21.5519455215,0.543271251471,21.1569294879
N2188-1.Q2.B.170419_1907.S.005621.061035N3413.0060.nh.fits,2017-04-19T19:07:00.000,S,15,474.79693287,92.6546583206,-34.1410522966,2.80193538039,1.66668181219,23.0026148966,0.66133434928,22.1071725073
