Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.I.161212_0646.C.042670.061035N3413.0060.nh.fits,2016-12-12T06:46:00.000,C,972,346.282048611,92.6548808722,-34.1411272643,1.67122441697,1.08343617639,23.0689655856,1.02158879398,22.8426132781
N2188-1.Q2.I.161115_0036.S.041241.061035N3413.0060.nh.fits,2016-11-15T00:36:00.000,S,973,319.025416667,92.6548868421,-34.1411458327,3.46423931326,1.79844991957,22.2737339239,0.618300896057,20.3326232323
N2188-1.Q2.I.170311_1007.A.048970.061035N3413.0060.nh.fits,2017-03-11T10:07:00.000,A,974,435.422048611,92.6548761875,-34.1411113892,60.8492626595,39.4183927947,19.1471795693,0.0324452527614,22.7264218843
N2188-1.Q2.I.170217_0439.C.056101.061035N3413.0060.nh.fits,2017-02-17T04:39:00.000,C,975,413.193819444,92.6547739442,-34.1411800666,63.0806179821,11.0853595001,19.1078903336,0.101286365754,20.9045045893
N2188-1.Q2.I.161226_1134.A.039614.061035N3413.0060.nh.fits,2016-12-26T11:34:00.000,A,976,360.482118056,92.6548660424,-34.1412172791,33.2718742013,12.9253296144,19.8057708428,0.08707900652,21.4362979666
N2188-1.Q2.I.170223_1211.A.046296.061035N3413.0060.nh.fits,2017-02-23T12:11:00.000,A,977,419.507824074,92.6548510248,-34.1411645648,60.0082202868,45.1031553875,19.1623635375,0.0275206132736,22.8536345509
N2188-1.Q2.I.170126_0236.C.051762.061035N3413.0060.nh.fits,2017-01-26T02:36:00.000,C,978,391.108888889,92.6547969057,-34.1411665104,60.2462041568,43.6357398965,19.1580455541,0.0279516736388,22.5970551401
N2188-1.Q2.I.170219_0439.C.056621.061035N3413.0060.nh.fits,2017-02-19T04:39:00.000,C,979,415.193831019,92.6548200984,-34.1412107885,61.8270254199,35.0779602932,19.1297889117,0.0343472314533,22.3651437527
N2188-1.Q2.I.170111_0432.C.048618.061035N3413.0060.nh.fits,2017-01-11T04:32:00.000,C,980,376.189224537,92.6547551152,-34.1411406166,65.0448803064,16.8884360775,19.0744375787,0.0675544755306,21.7892271186
N2188-1.Q2.I.170206_0125.C.053352.061035N3413.0060.nh.fits,2017-02-06T01:25:00.000,C,981,402.059224537,92.6548369246,-34.1411283866,62.4156483231,23.9053040734,19.1194516965,0.0484335899605,21.484338266
N2188-1.Q2.I.170307_2002.S.061075.061035N3413.0060.nh.fits,2017-03-07T20:02:00.000,S,982,431.834791667,92.6547592727,-34.1411694102,62.2562262126,39.8648806319,19.122241761,0.029985310863,22.0348716915
N2188-1.Q2.I.170219_0226.C.056561.061035N3413.0060.nh.fits,2017-02-19T02:26:00.000,C,983,415.102013889,92.6547566378,-34.1411950142,66.0823268516,42.1843228399,19.0571745926,0.0319344321692,22.5891959432
N2188-1.Q2.I.170301_0226.C.058997.061035N3413.0060.nh.fits,2017-03-01T02:26:00.000,C,984,425.101446759,92.6547839325,-34.1411259141,61.8265023766,26.8417122405,19.1297981409,0.0442187009147,21.8369684175
N2188-1.Q2.I.170305_0203.C.059949.061035N3413.0060.nh.fits,2017-03-05T02:03:00.000,C,985,429.086076389,92.6548090134,-34.141209563,64.8581962385,45.9504647121,19.0775731888,0.0306550148775,22.8579374107
N2188-1.Q2.I.161022_1635.A.028880.061035N3413.0060.nh.fits,2016-10-22T16:35:00.000,A,986,295.691180556,92.6548486635,-34.1411567769,1.58999619547,0.539922031032,23.1233219674,2.05039204605,20.1867074074
N2188-1.Q2.I.170220_0108.C.056800.061035N3413.0060.nh.fits,2017-02-20T01:08:00.000,C,987,416.047233796,92.6548712567,-34.1411920698,60.9899246043,16.7991911201,19.1446605949,0.0671107764619,21.524020812
N2188-1.Q2.I.170320_0143.C.063405.061035N3413.0060.nh.fits,2017-03-20T01:43:00.000,C,988,444.071736111,92.6548279554,-34.1412161755,55.2515342688,32.9582804149,19.2524599452,0.0363858899769,22.2174101555
N2188-1.Q2.I.170309_1229.A.048493.061035N3413.0060.nh.fits,2017-03-09T12:29:00.000,A,989,433.520787037,92.6548420377,-34.1411500986,50.6742154971,18.694576638,19.3468039039,0.0606478221474,21.0173179028
N2188-1.Q2.I.170108_0320.C.047855.061035N3413.0060.nh.fits,2017-01-08T03:20:00.000,C,990,373.139259259,92.6548143958,-34.1411757447,55.1344051875,24.2357285459,19.254775127,0.0472295225978,21.6314846181
N2188-1.Q2.I.170327_1924.S.000180.061035N3413.0060.nh.fits,2017-03-27T19:24:00.000,S,991,451.809027778,92.6548869409,-34.1411659802,49.3298221949,30.3009686064,19.3761377434,0.0380864655535,22.1220785193
N2188-1.Q2.I.170111_0537.C.048648.061035N3413.0060.nh.fits,2017-01-11T05:37:00.000,C,992,376.234305556,92.654780221,-34.1411433507,69.1329901988,13.3862877514,19.0079393547,0.0855499106346,21.5752372855
N2188-1.Q2.I.170219_1040.A.045191.061035N3413.0060.nh.fits,2017-02-19T10:40:00.000,A,993,415.444583333,92.6548228784,-34.141218447,42.1318378337,22.8058225995,19.5482075986,0.0505145342081,21.1151784533
N2188-1.Q2.I.161203_0637.C.040833.061035N3413.0060.nh.fits,2016-12-03T06:37:00.000,C,994,337.275914352,92.6548632473,-34.1411800456,2.45412993495,2.06605871171,22.6498062804,0.535865656943,22.8524662572
N2188-1.Q2.I.161219_0559.C.043872.061035N3413.0060.nh.fits,2016-12-19T05:59:00.000,C,995,353.249537037,92.6548012264,-34.1411925875,-1.17040117693,-0.532338623981,nan,nan,22.1688096701
N2188-1.Q2.I.170118_1928.S.051355.061035N3413.0060.nh.fits,2017-01-18T19:28:00.000,S,996,383.811770833,92.6547837105,-34.1411098706,58.3377373002,31.5399270014,19.1931635871,0.0377221234718,21.8682144128
N2188-1.Q2.I.170111_0747.C.048708.061035N3413.0060.nh.fits,2017-01-11T07:47:00.000,C,997,376.324340278,92.6548395534,-34.1412036575,58.2142800987,15.2911147094,19.195474751,0.0754023252347,21.2984922211
N2188-1.Q2.I.170206_1917.S.055016.061035N3413.0060.nh.fits,2017-02-06T19:17:00.000,S,998,402.803634259,92.6547738679,-34.1411981255,57.8447135056,28.9043609488,19.2024225831,0.0401283639591,21.7298972889
N2188-1.Q2.I.170218_0113.C.056268.061035N3413.0060.nh.fits,2017-02-18T01:13:00.000,C,999,414.050706019,92.6547983716,-34.1411346935,59.7724795088,30.4601281559,19.1666577385,0.0380539714217,21.7343978015
N2188-1.Q2.I.170402_0136.C.001439.061035N3413.0060.nh.fits,2017-04-02T01:36:00.000,C,1000,457.067094907,92.6548245473,-34.1411979785,49.1092724378,27.0859688683,19.3810262212,0.042548519158,22.1416805849
N2188-1.Q2.I.161023_1622.A.029098.061035N3413.0060.nh.fits,2016-10-23T16:22:00.000,A,1001,296.682280093,92.6547744125,-34.1411866257,2.42016376855,1.09000332852,22.6650109087,1.01535850854,21.4588726466
N2188-1.Q2.I.170105_0645.C.047225.061035N3413.0060.nh.fits,2017-01-05T06:45:00.000,C,1002,370.281585648,92.6547676937,-34.1411927986,54.5584773269,34.3845231683,19.2662309836,0.0361667232648,22.3462810904
