Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.V.161207_1659.A.036515.061035N3413.0060.nh.fits,979,706.707743056,92.6547679373,-34.1411301028,-3.09910323087,-0.923640719207,nan,nan,21.3991915468
N2188-1.Q2.V.161024_1730.A.029382.061035N3413.0060.nh.fits,980,662.729178241,92.6548043414,-34.1414397224,1.30744755847,0.713711969782,23.7250288884,1.5522837697,22.183104784
N2188-1.Q2.V.161212_1656.A.037444.061035N3413.0060.nh.fits,981,711.7059375,92.654814337,-34.1411367494,-3.96134656164,-0.339183402423,nan,nan,20.1215296444
N2188-1.Q2.V.161207_0233.C.041706.061035N3413.0060.nh.fits,982,706.106840278,92.6548853976,-34.1412050129,-1.68716726097,-0.455412714758,nan,nan,21.445539062
N2188-1.Q2.V.161218_0447.C.043605.061035N3413.0060.nh.fits,983,717.199826389,92.6547227069,-34.140949997,0.364977834345,0.735804161347,25.1170732531,1.50681421821,23.545454786
N2188-1.Q2.V.161208_0343.C.041988.061035N3413.0060.nh.fits,984,707.155115741,92.6548049232,-34.1411379625,-1.08433292445,-0.373668955725,nan,nan,21.6426469497
N2188-1.Q2.V.161205_0753.C.041352.061035N3413.0060.nh.fits,985,704.328703704,92.654841225,-34.1411158044,-0.382769172426,-0.647717009852,nan,nan,23.4551619837
N2188-1.Q2.V.161225_2051.S.048042.061035N3413.0060.nh.fits,986,724.868935185,92.6547497896,-34.1410770506,46.9731032761,22.7054041793,19.8178013527,0.0490677547481,22.1006624969
N2188-1.Q2.V.170331_0130.C.000887.061035N3413.0060.nh.fits,987,820.062511574,92.6547490768,-34.1410951793,36.1742464599,31.6266548121,20.1027871489,0.0353532462453,23.1084377968
N2188-1.Q2.V.161027_0819.C.033415.061035N3413.0060.nh.fits,988,665.346608796,92.6548601583,-34.1411605456,-0.663774035242,-0.93859460139,nan,nan,23.2505039481
N2188-1.Q2.V.170402_1925.S.001873.061035N3413.0060.nh.fits,989,822.809594907,92.6541057564,-34.1411503357,642825.595593,4.06875220388,9.4275566556,0.326835016135,8.86153230013
N2188-1.Q2.V.170317_0156.C.062594.061035N3413.0060.nh.fits,990,806.081168981,92.6547254015,-34.1410802913,44.5965840192,34.4834094414,19.8744410712,0.0324631105723,22.9793743811
N2188-1.Q2.V.161116_0647.C.037395.061035N3413.0060.nh.fits,991,685.283321759,92.6548168502,-34.1411520479,-0.006139053804,-0.0106211903414,nan,nan,23.3168374428
N2188-1.Q2.V.170218_0111.C.056267.061035N3413.0060.nh.fits,992,779.049224537,92.6547435032,-34.1410980047,62.1419406017,30.7419363968,19.5125040292,0.0363327426442,22.1403156683
N2188-1.Q2.V.161218_0051.S.046567.061035N3413.0060.nh.fits,993,717.035925926,92.6549568844,-34.1412112156,2.2314543072,0.643162002694,23.1418336239,1.72197477313,21.4278900618
N2188-1.Q2.V.170208_0117.C.053766.061035N3413.0060.nh.fits,994,769.054189815,92.6547318021,-34.1411113738,63.0333104923,14.3830719826,19.4969665424,0.0772208853116,21.2034634578
N2188-1.Q2.V.170124_2045.S.052405.061035N3413.0060.nh.fits,995,754.863506944,92.6547551125,-34.1411137567,67.8151921895,18.9556215315,19.4171932595,0.0587093552346,21.5228933989
N2188-1.Q2.V.170110_0214.C.048312.061035N3413.0060.nh.fits,996,740.093148148,92.6547384911,-34.1410647875,46.7199255951,39.7502740542,19.8236972939,0.0282274652899,23.2686145535
N2188-1.Q2.V.161228_1210.A.040098.061035N3413.0060.nh.fits,997,727.507060185,92.6547515061,-34.1410786788,100.901097654,20.1642538409,18.9837001982,0.0551908949152,21.0709045743
N2188-1.Q2.V.161219_0159.S.046845.061035N3413.0060.nh.fits,998,718.082731481,92.6535755753,-34.1414713671,0.00360152514137,0.00342954426465,30.1555927112,323.10730543,22.7306651089
N2188-1.Q2.V.170114_0717.C.049415.061035N3413.0060.nh.fits,999,744.303715278,92.6547458438,-34.1410731548,65.7039576477,33.418184927,19.4516967527,0.0334886966773,22.3423138221
N2188-1.Q2.V.161201_1509.A.035613.061035N3413.0060.nh.fits,1000,700.631446759,92.6547316335,-34.1414219823,0.408130526907,0.227408534222,24.9951593871,4.87162474386,22.1738979842
N2188-1.Q2.V.161205_0642.C.041322.061035N3413.0060.nh.fits,1001,704.279421296,92.6548659121,-34.1411695777,-0.797870289537,-1.21710108262,nan,nan,23.2914324624
N2188-1.Q2.V.170221_1037.A.045743.061035N3413.0060.nh.fits,1002,782.442523148,92.6547146344,-34.1410628206,43.9435556233,40.712931087,19.8905339478,0.027566644786,23.4801510976
N2188-1.Q2.V.161208_0707.C.042080.061035N3413.0060.nh.fits,1003,707.296840278,92.6560731765,-34.1414054737,0.990115119047,0.415147363494,24.0283242168,2.66766975892,21.8389272315
N2188-1.Q2.V.170206_0221.C.053378.061035N3413.0060.nh.fits,1004,767.09837963,92.6547516549,-34.1410802375,62.0127884607,22.6969784705,19.51477375,0.0490964932735,21.7823240191
N2188-1.Q2.V.170218_0327.C.056327.061035N3413.0060.nh.fits,1005,779.143923611,92.6547419079,-34.1410799742,64.9773448848,36.8083972283,19.4638286293,0.0304364779929,22.4866351534
N2188-1.Q2.V.170331_1201.A.051296.061035N3413.0060.nh.fits,1006,820.501400463,92.6548869127,-34.1410668812,38.0626880254,7.51401229047,20.0472720439,0.14753111399,21.0345916959
N2188-1.Q2.V.170309_0337.C.060790.061035N3413.0060.nh.fits,1007,798.151319444,92.6547541263,-34.1410727545,53.5405487486,13.0264264465,19.6750354368,0.0852670525828,21.2822233635
N2188-1.Q2.V.170218_1414.A.045020.061035N3413.0060.nh.fits,1008,779.593553241,92.6550888488,-34.1411300947,49.5920352176,5.21246867058,19.7586119032,0.212672039126,20.3661991874
N2188-1.Q2.V.170213_0113.C.054967.061035N3413.0060.nh.fits,1009,774.051030093,92.6547250403,-34.1410652903,34.5262354144,33.0857642518,20.1536558165,0.0338199440859,23.4170687163
N2188-1.Q2.V.170309_2051.S.061675.061035N3413.0060.nh.fits,1010,798.8690625,92.6547407261,-34.1410766647,45.5395779713,6.6243085849,19.8516135038,0.167376348635,20.7124421556
N2188-1.Q2.V.161202_1705.A.035732.061035N3413.0060.nh.fits,1011,701.711909722,92.6547864203,-34.1412066318,-2.28865806921,-0.578999275576,nan,nan,21.2513556718
N2188-1.Q2.V.170110_0319.C.048342.061035N3413.0060.nh.fits,1012,740.138518519,92.654717975,-34.1410567258,34.1160673108,35.7147699997,20.1666937617,0.0313711423793,23.7019270147
N2188-1.Q2.V.170119_1106.A.042189.061035N3413.0060.nh.fits,1013,749.462523148,92.6547534889,-34.1411124036,98.6521041417,33.5897751295,19.0082915177,0.0333033253117,21.8012212989
N2188-1.Q2.V.161218_0814.C.043695.061035N3413.0060.nh.fits,1014,717.34375,92.6547397154,-34.1405360839,0.0360099853373,0.0635714009399,27.6437522391,17.4354677074,23.5039167269
N2188-1.Q2.V.170213_0220.C.054997.061035N3413.0060.nh.fits,1015,774.097407407,92.6547290754,-34.1410724,39.9576132551,37.555269669,19.9942686335,0.0298551353955,23.4594844996
N2188-1.Q2.V.170218_0220.C.056297.061035N3413.0060.nh.fits,1016,779.097731481,92.6547493369,-34.1410942441,63.2647076499,35.3631954772,19.492968974,0.0316402419534,22.3590955622
N2188-1.Q2.V.170113_0344.C.049080.061035N3413.0060.nh.fits,1017,743.156215278,92.6547102383,-34.14106937,45.6889750862,33.346971042,19.848040399,0.0335592175252,22.9167596505
N2188-1.Q2.V.170416_1751.S.004648.061035N3413.0060.nh.fits,1018,836.74443287,92.654736377,-34.1411435125,12.1031558528,4.1030802705,21.2972453278,0.270020104031,21.5894285538
N2188-1.Q2.V.161213_1549.A.037657.061035N3413.0060.nh.fits,1019,712.659502315,92.6547976037,-34.1413334995,9.98257273881,0.748275097787,21.5073895574,1.48002641368,19.9924057215
N2188-1.Q2.V.161030_0557.C.034164.061035N3413.0060.nh.fits,1020,668.248541667,92.6547636561,-34.1410036465,0.308825670328,0.181759104926,25.2993266331,6.09548688814,22.2172156478
N2188-1.Q2.V.170125_2058.S.052631.061035N3413.0060.nh.fits,1021,755.874259259,92.6547390262,-34.1410767047,67.7663108476,20.1381335148,19.4179799006,0.0552470438551,21.5482348975
N2188-1.Q2.V.170211_1236.A.044424.061035N3413.0060.nh.fits,1022,772.525162037,92.6547617227,-34.1411012626,66.5103343684,9.71658900055,19.4383891782,0.114162041518,20.7624717262
N2188-1.Q2.V.161106_1530.A.031914.061035N3413.0060.nh.fits,1023,675.645972222,92.6548468382,-34.141175309,0.130722299057,0.115825528037,26.2372162863,9.56607665986,22.7442734539
N2188-1.Q2.V.170109_0640.C.048191.061035N3413.0060.nh.fits,1024,739.278391204,92.6547576553,-34.1410807263,58.0846169149,41.7261579924,19.5861651187,0.0269102498624,23.0108989045
N2188-1.Q2.V.170119_2014.S.051613.061035N3413.0060.nh.fits,1025,749.843206019,92.6547826485,-34.1409946244,69.6640942583,15.7263398105,19.3878480803,0.070648874382,21.2076521755
N2188-1.Q2.V.170122_0229.C.051103.061035N3413.0060.nh.fits,1026,752.103530093,92.6547433165,-34.1410979019,72.0005286743,44.0695641953,19.3518594342,0.0254993992049,22.6839528379
N2188-1.Q2.V.161203_0635.C.040832.061035N3413.0060.nh.fits,1027,702.274502315,92.6548606585,-34.1411423658,-0.50963082671,-0.814375777289,nan,nan,23.2810853565
N2188-1.Q2.V.161216_0151.S.046104.061035N3413.0060.nh.fits,1028,715.077407407,92.6548249102,-34.1411254408,nan,nan,nan,nan,19.9571123653
N2188-1.Q2.V.170113_0704.C.049171.061035N3413.0060.nh.fits,1029,743.295127315,92.6547145178,-34.1410747774,70.4197951566,23.9856734708,19.3760774451,0.0464832524173,21.6833590728
N2188-1.Q2.V.170418_1820.S.005280.061035N3413.0060.nh.fits,1030,838.764166667,92.6547832452,-34.1409970287,8.64821107733,3.41823273469,21.6639278581,0.324091307983,21.7414094192
N2188-1.Q2.V.161130_1359.A.035424.061035N3413.0060.nh.fits,1031,699.582789352,92.6547939984,-34.1411951803,-2.5638336227,-0.44687580731,nan,nan,20.8722851725
N2188-1.Q2.V.170216_0436.C.055843.061035N3413.0060.nh.fits,1032,777.191886574,92.6547398826,-34.1410795876,53.8107200824,33.7582997002,19.6695442408,0.033149468344,22.5548958805
N2188-1.Q2.V.161030_0701.C.034194.061035N3413.0060.nh.fits,1033,668.292696759,92.6548675294,-34.1411697177,-0.986379794005,-2.34575873605,nan,nan,23.6614041113
