Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.V.170113_0239.C.049050.061035N3413.0060.nh.fits,2017-01-13T02:39:00.000,C,486,378.111064815,92.6548801543,-34.141159626,75.9619030862,30.4160285424,19.2934299341,0.0388654355229,22.5634698212
N2188-1.Q2.V.161201_0413.C.040295.061035N3413.0060.nh.fits,2016-12-01T04:13:00.000,C,487,335.176064815,92.6547650043,-34.1411777659,0.729309849513,0.42515356124,24.3618515336,2.59600909037,22.2407747204
N2188-1.Q2.V.170227_1034.A.046886.061035N3413.0060.nh.fits,2017-02-27T10:34:00.000,A,488,423.440810185,92.6548637332,-34.1411194209,60.8265476582,29.368293831,19.5358446381,0.0382207668395,21.8819702421
N2188-1.Q2.V.170327_0924.A.050423.061035N3413.0060.nh.fits,2017-03-27T09:24:00.000,A,489,451.392048611,92.6548717336,-34.1411438286,52.5995312023,35.8924972852,19.6943802095,0.0340025344971,22.9614014596
N2188-1.Q2.V.161201_0518.C.040325.061035N3413.0060.nh.fits,2016-12-01T05:18:00.000,C,490,335.221342593,92.6548058154,-34.1411162143,3.32840440511,3.34408857584,22.7056296224,0.33025040511,23.1909493017
N2188-1.Q2.V.161117_0751.C.037688.061035N3413.0060.nh.fits,2016-11-17T07:51:00.000,C,491,321.32744213,92.6548491463,-34.141164619,7.73597361794,3.90770841707,21.785537046,0.282707063246,22.4093880505
N2188-1.Q2.V.161217_2343.S.046536.061035N3413.0060.nh.fits,2016-12-17T23:43:00.000,S,492,351.988611111,92.6548344608,-34.1411323854,3.94480009912,1.22380651223,22.5202718746,0.901926493898,21.3199025981
N2188-1.Q2.V.170125_0239.C.051534.061035N3413.0060.nh.fits,2017-01-25T02:39:00.000,C,493,390.111018519,92.6548091346,-34.1411476899,78.5466835843,50.5158380621,19.2569255093,0.0227262422583,23.0866762049
N2188-1.Q2.V.161201_0624.C.040355.061035N3413.0060.nh.fits,2016-12-01T06:24:00.000,C,494,335.267106481,92.654852492,-34.1412072849,0.351804100898,0.326352557799,25.1571788209,3.38177306059,23.1980860894
N2188-1.Q2.V.161024_1730.A.029382.061035N3413.0060.nh.fits,2016-10-24T17:30:00.000,A,495,297.729166667,92.654861422,-34.1412091169,0.555593546218,0.231609288531,24.6586566086,4.76531354363,21.9222019331
