Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand,Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand,TRUE
N2188-1.Q2.B.161022_1631.A.028878.061035N3413.0060.nh.fits,2016-10-22T16:31:00.000,A,465,660.6883565,92.65480409,-34.14114848,nan,nan,nan,nan,20.10617575,5.917178535,1.736647348,0.4662138887,0.06720341486,N2188-1.Q2.B.161022_1631.A.028878.061035N3413.0060.nh.fits,2016-10-22T16:31:00.000,A,31,295.6883449,92.65480409,-34.14114848,-14.71370072,-1.597809676,nan,nan,20.57066236,8.208210817,1.711015096,-0.6258567684,-0.09096130386,TRUE
N2188-1.Q2.B.161023_1618.A.029096.061035N3413.0060.nh.fits,2016-10-23T16:18:00.000,A,189,661.6795023,92.6536016,-34.14108598,5.154455227,1.172556149,22.40007379,0.9399749603,21.3942564,4.664723971,1.555200426,0.8528376241,0.1226591809,N2188-1.Q2.B.161023_1618.A.029096.061035N3413.0060.nh.fits,2016-10-23T16:18:00.000,A,334,296.6794907,92.65486873,-34.14119233,-5.096926083,-2.020823502,nan,nan,21.99875723,4.664723971,1.555200426,-0.4948477683,-0.07137452477,TRUE
N2188-1.Q2.B.161023_1726.A.029127.061035N3413.0060.nh.fits,2016-10-23T17:26:00.000,A,436,661.7270139,92.65360397,-34.14108844,4.197432355,1.020545854,22.62414184,1.079998224,21.40945494,4.16709981,1.663250964,0.9798677792,0.1410194017,N2188-1.Q2.B.161023_1726.A.029127.061035N3413.0060.nh.fits,2016-10-23T17:26:00.000,A,147,296.7270023,92.6548333,-34.14119159,-2.095895031,-1.293923981,nan,nan,22.45226191,4.16709981,1.663250964,-0.7728429294,-0.1113006149,TRUE
N2188-1.Q2.B.161024_1622.A.029351.061035N3413.0060.nh.fits,2016-10-24T16:22:00.000,A,215,662.6822454,92.6548347,-34.14120659,nan,nan,nan,nan,21.84488033,3.231915128,1.508519518,0.102161636,0.01588633529,N2188-1.Q2.B.161024_1622.A.029351.061035N3413.0060.nh.fits,2016-10-24T16:22:00.000,A,86,297.6822338,92.65470351,-34.1414225,3.23769614,2.488469126,22.90736386,0.4430521364,22.72442893,3.202008002,1.707629296,0.4018534887,0.05869052815,TRUE
N2188-1.Q2.B.161024_1727.A.029381.061035N3413.0060.nh.fits,2016-10-24T17:27:00.000,A,453,662.7277546,92.65353021,-34.141127,2.710118001,0.6986671516,23.10141055,1.577619864,21.48744192,4.013040109,1.569680929,1.431296716,0.206387548,N2188-1.Q2.B.161024_1727.A.029381.061035N3413.0060.nh.fits,2016-10-24T17:27:00.000,A,143,297.7277431,92.65503904,-34.14064175,3.43358043,1.990973887,22.84327988,0.5536558123,22.41618093,4.013040109,1.569680929,0.5022667581,0.07269250391,TRUE
N2188-1.Q2.B.161025_0816.C.032886.061035N3413.0060.nh.fits,2016-10-25T08:16:00.000,C,148,663.3445139,92.65359355,-34.14104906,1.283466098,0.7574407742,23.9168153,1.455355593,22.37988363,3.907119078,1.452194307,1.320235237,0.1913412956,N2188-1.Q2.B.161025_0816.C.032886.061035N3413.0060.nh.fits,2016-10-25T08:16:00.000,C,65,298.3445023,92.65487701,-34.14117344,-1.009974517,-1.26039937,nan,nan,23.25809163,3.907119078,1.452194307,-0.7933993175,-0.1151127433,TRUE
N2188-1.Q2.B.161025_1624.A.029614.061035N3413.0060.nh.fits,2016-10-25T16:24:00.000,A,259,663.6835995,92.65487969,-34.14119328,nan,nan,nan,nan,21.56760633,3.276192357,1.53704151,0.06872606868,0.01121255475,N2188-1.Q2.B.161025_1624.A.029614.061035N3413.0060.nh.fits,2016-10-25T16:24:00.000,A,329,298.683588,92.65487969,-34.14119328,-1.143947946,-0.3256146723,nan,nan,21.61368007,5.050597416,1.455745272,-3.07111468,-0.4412445699,TRUE
N2188-1.Q2.B.161025_1727.A.029644.061035N3413.0060.nh.fits,2016-10-25T17:27:00.000,A,334,663.7276042,92.65368819,-34.14103009,5.34414524,1.548583591,22.36064674,0.7118877177,21.64957345,4.358643426,1.499305427,0.6457513858,0.09388510669,N2188-1.Q2.B.161025_1727.A.029644.061035N3413.0060.nh.fits,2016-10-25T17:27:00.000,A,473,298.7275926,92.65518906,-34.14149194,8.065367973,2.700099858,21.91163696,0.4083307719,21.82054468,4.358643426,1.499305427,0.370356673,0.05411930919,TRUE
N2188-1.Q2.B.161026_0533.C.033067.061035N3413.0060.nh.fits,2016-10-26T05:33:00.000,C,341,664.2315625,92.65364217,-34.14104858,1.749812237,1.027305403,23.57868239,1.073097661,22.40438854,3.950985477,1.382527172,0.9734203648,0.1414090713,N2188-1.Q2.B.161026_0533.C.033067.061035N3413.0060.nh.fits,2016-10-26T05:33:00.000,C,60,299.2315509,92.65474581,-34.14128412,1.169486672,1.006134053,24.01827278,1.095677032,22.84021664,3.950985477,1.382527172,0.9939033444,0.1443779729,TRUE
N2188-1.Q2.B.161026_0641.C.033098.061035N3413.0060.nh.fits,2016-10-26T06:41:00.000,C,159,664.2791551,92.65357667,-34.14105743,1.996708699,1.241388583,23.43468636,0.8880105004,22.43796653,4.048358832,1.41961375,0.8055495387,0.1168531764,N2188-1.Q2.B.161026_0641.C.033098.061035N3413.0060.nh.fits,2016-10-26T06:41:00.000,C,177,299.2791435,92.65477836,-34.14113228,-0.1592638517,-0.1586558118,nan,nan,22.96407854,4.048358832,1.41961375,-6.302952213,-0.912816129,TRUE
