Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.B.170331_1200.A.051295.061035N3413.0060.nh.fits,2017-03-31T12:00:00.000,A,0,455.500046296,92.6549615657,-34.1409933958,4.4255722625,2.77037775649,22.5664016885,0.397968899912,21.2984696546,5.08199526192,0.946017907601,0.36096160448,0.0527242965437
N2188-1.Q2.B.170420_0855.A.055384.061035N3413.0060.nh.fits,2017-04-20T08:55:00.000,A,1,475.371608796,92.6547504386,-34.1411354542,0.973319330669,2.22421243602,24.2185794768,0.495696324222,23.260451892,2.5988501173,0.950952422787,0.449597342324,0.0656987523074
N2188-1.Q2.B.161022_1631.A.028878.061035N3413.0060.nh.fits,2016-10-22T16:31:00.000,A,2,295.688344907,92.6548040893,-34.1411484785,nan,nan,nan,nan,20.5706623597,2.5988501173,0.950952422787,0.449597342324,0.0656987523074
N2188-1.Q2.B.170113_0703.C.049170.061035N3413.0060.nh.fits,2017-01-13T07:03:00.000,C,3,378.293773148,92.654795523,-34.1411138962,84.137941142,18.2379323825,19.3534973088,0.0606623376607,21.6778659974,4.56753614521,1.74700684416,0.0548307768133,0.00924776571838
N2188-1.Q2.B.161207_1553.A.036487.061035N3413.0060.nh.fits,2016-12-07T15:53:00.000,A,4,341.662303241,92.65485658,-34.1411338917,nan,nan,nan,nan,21.266244191,4.56753614521,1.74700684416,0.0548307768133,0.00924776571838
N2188-1.Q2.B.170119_1904.S.051582.061035N3413.0060.nh.fits,2017-01-19T19:04:00.000,S,5,384.794594907,92.6547389698,-34.1411631517,46.5883615516,19.2185314904,19.9983639908,0.0575677784449,21.6539438597,7.00854511117,0.911597430056,0.0520331119211,0.00877950975286
N2188-1.Q2.B.170111_0319.C.048586.061035N3413.0060.nh.fits,2017-01-11T03:19:00.000,C,6,376.138553241,92.6547733363,-34.141091456,90.0617836681,45.721673305,19.2792710667,0.0244434452435,23.4754437984,4.27432577048,1.75739143435,0.0218714654936,0.00486356730025
N2188-1.Q2.B.161201_0411.C.040294.061035N3413.0060.nh.fits,2016-12-01T04:11:00.000,C,7,335.174398148,92.6548340372,-34.1412120731,nan,nan,nan,nan,23.255860054,4.27432577048,1.75739143435,0.0218714654936,0.00486356730025
N2188-1.Q2.B.170307_1957.S.061073.061035N3413.0060.nh.fits,2017-03-07T19:57:00.000,S,8,431.831597222,92.6547557295,-34.1411492266,29.578176965,17.416669087,20.4939967487,0.0635023373463,22.3402163812,5.47052356355,0.965481804734,0.0574162599635,0.00957039828172
N2188-1.Q2.B.170331_0942.A.051231.061035N3413.0060.nh.fits,2017-03-31T09:42:00.000,A,9,455.404351852,92.6547360625,-34.1410998564,13.6159833702,6.54918195895,21.340345794,0.168410779925,21.6722295258,6.61514849297,0.926891791804,0.152690825552,0.0227143552704
N2188-1.Q2.B.170327_2028.S.000210.061035N3413.0060.nh.fits,2017-03-27T20:28:00.000,S,10,451.853321759,92.6547649602,-34.1410914915,17.3552161362,13.8979840261,21.0756286861,0.0795140765018,22.6749896861,4.97752869474,0.911600952453,0.0719528816641,0.0116212257878
N2188-1.Q2.B.170328_1939.S.000418.061035N3413.0060.nh.fits,2017-03-28T19:39:00.000,S,11,452.819247685,92.6547376837,-34.1411995971,12.8693466136,8.11472225413,21.40187099,0.135962161637,21.9402801085,5.18656180677,0.911603987189,0.123232806827,0.0185931602588
N2188-1.Q2.B.170223_0331.C.057637.061035N3413.0060.nh.fits,2017-02-23T03:31:00.000,C,12,419.147106481,92.6547505258,-34.1411344388,32.3716471824,24.374236147,20.3955429394,0.0454730366805,22.74838095,4.61636119515,1.1295398107,0.0410269267094,0.00736152860787
N2188-1.Q2.B.161026_1620.A.029735.061035N3413.0060.nh.fits,2016-10-26T16:20:00.000,A,13,299.681111111,92.6548233875,-34.141179543,nan,nan,nan,nan,21.0011765683,4.61636119515,1.1295398107,0.0410269267094,0.00736152860787
N2188-1.Q2.B.170311_1003.A.048968.061035N3413.0060.nh.fits,2017-03-11T10:03:00.000,A,14,435.419131944,92.6547597801,-34.1411060036,31.6981604895,16.4151200664,20.4184793544,0.0673818460429,22.251462664,5.54638033908,0.93574041328,0.0609194447532,0.0101821026615
N2188-1.Q2.B.161027_0816.C.033414.061035N3413.0060.nh.fits,2016-10-27T08:16:00.000,C,15,300.345138889,92.6547845141,-34.1411850363,nan,nan,nan,nan,23.2511745713,5.54638033908,0.93574041328,0.0609194447532,0.0101821026615
N2188-1.Q2.B.161116_0645.C.037394.061035N3413.0060.nh.fits,2016-11-16T06:45:00.000,C,16,320.28193287,92.6547804209,-34.1411102266,nan,nan,nan,nan,23.4165031149,5.54638033908,0.93574041328,0.0609194447532,0.0101821026615
N2188-1.Q2.B.170109_0638.C.048190.061035N3413.0060.nh.fits,2017-01-09T06:38:00.000,C,17,374.27693287,92.654767047,-34.1410966185,80.1846745573,45.6098701784,19.4059993893,0.0244795656784,23.007624095,4.3505098049,1.51201518872,0.02192507885,0.00477398931381
N2188-1.Q2.B.161201_0728.C.040384.061035N3413.0060.nh.fits,2016-12-01T07:28:00.000,C,18,335.311550926,92.6548835335,-34.1411697671,nan,nan,nan,nan,23.4048969895,4.3505098049,1.51201518872,0.02192507885,0.00477398931381
N2188-1.Q2.B.161026_0533.C.033067.061035N3413.0060.nh.fits,2016-10-26T05:33:00.000,C,19,299.231550926,92.6546753627,-34.1413054276,0.561147899079,1.52801503879,24.8193946317,0.721478511967,22.8402166386,2.01761274309,0.935131180651,0.654443820651,0.0952004868471
N2188-1.Q2.B.170327_0045.C.065259.061035N3413.0060.nh.fits,2017-03-27T00:45:00.000,C,20,451.031886574,92.6547540565,-34.1411257104,15.8275719264,18.2842817798,21.1761482019,0.0605203861499,23.3173354279,4.49878524862,0.936309883677,0.0546917845636,0.00928926608062
N2188-1.Q2.B.161115_1600.A.032984.061035N3413.0060.nh.fits,2016-11-15T16:00:00.000,A,21,319.667106481,92.6546050038,-34.141654027,0.00192256165792,0.000770768261149,31.0119696576,1430.20874587,20.1777236521,2.304570731,0.924995609201,1297.40682175,188.147505529
N2188-1.Q2.B.170318_1929.S.063738.061035N3413.0060.nh.fits,2017-03-18T19:29:00.000,S,22,442.812384259,92.6547226271,-34.1411161825,10.8356880973,7.08232800465,21.5895173963,0.155748097496,21.9187931541,5.51123502094,0.911607138151,0.141196510433,0.0210977292667
N2188-1.Q2.B.161201_0622.C.040354.061035N3413.0060.nh.fits,2016-12-01T06:22:00.000,C,23,335.265763889,92.6548820346,-34.1411516571,nan,nan,nan,nan,23.4689183924,5.51123502094,0.911607138151,0.141196510433,0.0210977292667
N2188-1.Q2.B.170209_2024.S.055649.061035N3413.0060.nh.fits,2017-02-09T20:24:00.000,S,24,405.850439815,92.6547820368,-34.1411447175,33.9338793406,10.11635501,20.3441255326,0.109113415465,21.5224560654,3.73598259747,1.59421312098,0.0988498326736,0.0152357599054
N2188-1.Q2.B.161212_1654.A.037443.061035N3413.0060.nh.fits,2016-12-12T16:54:00.000,A,25,346.704548611,92.654879024,-34.1411473662,nan,nan,nan,nan,20.2152696864,3.73598259747,1.59421312098,0.0988498326736,0.0152357599054
N2188-1.Q2.B.170414_0928.A.053762.061035N3413.0060.nh.fits,2017-04-14T09:28:00.000,A,26,469.395034722,92.6547233664,-34.1412612996,2.75181340916,4.1714985577,23.0847540287,0.264347460646,22.9662903862,3.80267715723,0.911886632212,0.239722005454,0.0353193721834
N2188-1.Q2.B.161121_1558.A.034112.061035N3413.0060.nh.fits,2016-11-21T15:58:00.000,A,27,325.665381944,92.6548684036,-34.1412083807,nan,nan,nan,nan,21.5327787614,3.80267715723,0.911886632212,0.239722005454,0.0353193721834
N2188-1.Q2.B.170320_0138.C.063403.061035N3413.0060.nh.fits,2017-03-20T01:38:00.000,C,28,444.06875,92.6547716242,-34.1410937923,20.5550292995,22.3385630843,20.8910266453,0.0495928679943,23.3205863096,5.14487484078,0.960718724984,0.0447656367255,0.00790662229068
N2188-1.Q2.B.170112_0456.C.048872.061035N3413.0060.nh.fits,2017-01-12T04:56:00.000,C,29,377.205636574,92.6547622674,-34.1411093103,60.1968487595,38.6604962685,19.7187876354,0.028832368614,23.2074243524,4.51141989855,1.04997924974,0.0258661966741,0.00542382706996
N2188-1.Q2.B.161104_1542.A.031460.061035N3413.0060.nh.fits,2016-11-04T15:42:00.000,A,30,308.654675926,92.6545622662,-34.1410619921,1289.79370644,19.2069201425,16.3754500362,0.0809833787749,18.0404291647,5.18609471009,1.1227002092,0.052064568009,0.0529121014937
N2188-1.Q2.B.170418_0931.A.054898.061035N3413.0060.nh.fits,2017-04-18T09:31:00.000,A,31,473.396898148,92.6548174801,-34.1411759109,nan,nan,nan,nan,20.791345658,5.18609471009,1.1227002092,0.052064568009,0.0529121014937
N2188-1.Q2.B.170213_0323.C.055026.061035N3413.0060.nh.fits,2017-02-13T03:23:00.000,C,32,409.141203704,92.6547584147,-34.1410984446,37.3140335249,30.3215323868,20.2405339531,0.0366379309651,23.1647005215,4.68381155729,1.05005780352,0.0329798635255,0.00633920079095
N2188-1.Q2.B.170307_1237.A.048109.061035N3413.0060.nh.fits,2017-03-07T12:37:00.000,A,33,431.525798611,92.6547668121,-34.1411483014,nan,nan,nan,nan,19.5309942141,4.68381155729,1.05005780352,0.0329798635255,0.00633920079095
N2188-1.Q2.B.170318_0129.C.062854.061035N3413.0060.nh.fits,2017-03-18T01:29:00.000,C,34,442.061840278,92.654747913,-34.1410963949,23.2455641733,23.1475271385,20.7568306043,0.0478912359818,23.5357145471,4.81398455747,0.985650490177,0.0432011589841,0.00779484616034
N2188-1.Q2.B.161205_0415.C.041260.061035N3413.0060.nh.fits,2016-12-05T04:15:00.000,C,35,339.177141204,92.6548522249,-34.1411389721,nan,nan,nan,nan,23.4224190373,4.81398455747,0.985650490177,0.0432011589841,0.00779484616034
N2188-1.Q2.B.170122_1149.A.042530.061035N3413.0060.nh.fits,2017-01-22T11:49:00.000,A,36,387.492407407,92.6548748544,-34.1412091695,49.4940672989,28.1267236826,19.9323594139,0.0394684356761,23.1104959574,5.00000527829,1.16038882191,0.0355533766139,0.00669429688478
N2188-1.Q2.B.170217_0106.C.056009.061035N3413.0060.nh.fits,2017-02-17T01:06:00.000,C,37,413.046006944,92.654759696,-34.1411132347,32.9239552566,25.8837312029,20.3770867619,0.0428328618317,22.65402728,4.9258534557,1.01948453521,0.0386343063201,0.00699286647174
N2188-1.Q2.B.161220_2234.S.047227.061035N3413.0060.nh.fits,2016-12-20T22:34:00.000,S,38,354.94087963,92.655311189,-34.1410010967,0.00185006311037,0.00604584890456,31.0539043156,182.334761282,22.8926799924,1.97447448986,0.944485111683,165.402744228,23.9958053736
N2188-1.Q2.B.161024_1622.A.029351.061035N3413.0060.nh.fits,2016-10-24T16:22:00.000,A,39,297.682233796,92.6548346976,-34.1412065907,2.9523981786,2.23484043911,23.007997492,0.493320919056,22.724428933,5.00000527829,1.16038882191,0.447459238028,0.0652716466538
N2188-1.Q2.B.170119_2011.S.051612.061035N3413.0060.nh.fits,2017-01-19T20:11:00.000,S,40,384.841655093,92.6548490933,-34.1411556604,nan,nan,nan,nan,20.1184189929,5.00000527829,1.16038882191,0.447459238028,0.0652716466538
N2188-1.Q2.B.170227_1141.A.046915.061035N3413.0060.nh.fits,2017-02-27T11:41:00.000,A,41,423.487175926,92.6547435438,-34.1410918993,22.8082351175,13.2250235536,20.7775506097,0.0835245135965,21.9839343286,6.0166726276,0.911607819909,0.0756142320612,0.012005820527
N2188-1.Q2.B.161219_0815.C.043930.061035N3413.0060.nh.fits,2016-12-19T08:15:00.000,C,42,353.344340278,92.6548457258,-34.1411241811,nan,nan,nan,nan,22.8967191972,6.0166726276,0.911607819909,0.0756142320612,0.012005820527
N2188-1.Q2.B.161216_0630.C.043173.061035N3413.0060.nh.fits,2016-12-16T06:30:00.000,C,43,350.271458333,92.6548185488,-34.1411689767,nan,nan,nan,nan,23.6524770926,6.0166726276,0.911607819909,0.0756142320612,0.012005820527
N2188-1.Q2.B.170216_0324.C.055812.061035N3413.0060.nh.fits,2017-02-16T03:24:00.000,C,44,412.142071759,92.6547686908,-34.1410979461,31.9704965617,24.2738634562,20.409146466,0.0456546670818,22.5255267397,4.84090567969,0.9752624834,0.0411965734999,0.00735867341231
N2188-1.Q2.B.170110_0212.C.048311.061035N3413.0060.nh.fits,2017-01-10T02:12:00.000,C,45,375.091805556,92.6547363632,-34.1410973534,83.3374037576,51.7115035098,19.3639269169,0.0216521885229,23.3617193636,4.69009180499,1.13583175595,0.019338056953,0.00446636034947
N2188-1.Q2.B.161030_0555.C.034163.061035N3413.0060.nh.fits,2016-10-30T05:55:00.000,C,46,303.247071759,92.6547883034,-34.1411591292,nan,nan,nan,nan,23.2363760907,4.69009180499,1.13583175595,0.019338056953,0.00446636034947
N2188-1.Q2.B.170319_0034.C.063113.061035N3413.0060.nh.fits,2017-03-19T00:34:00.000,C,47,443.023715278,92.6547590069,-34.1411481732,21.7098349461,20.2635477222,20.8313957306,0.0546218459647,22.7279007773,4.51005040268,1.05475350844,0.0493496999493,0.0084520378135
N2188-1.Q2.B.161220_0506.C.044092.061035N3413.0060.nh.fits,2016-12-20T05:06:00.000,C,48,354.2128125,92.6548556643,-34.1411449473,nan,nan,nan,nan,23.5660946855,4.51005040268,1.05475350844,0.0493496999493,0.0084520378135
N2188-1.Q2.B.161115_0630.C.036952.061035N3413.0060.nh.fits,2016-11-15T06:30:00.000,C,49,319.271053241,92.6548761402,-34.1411403339,nan,nan,nan,nan,21.7005740126,4.51005040268,1.05475350844,0.0493496999493,0.0084520378135
N2188-1.Q2.B.161025_1624.A.029614.061035N3413.0060.nh.fits,2016-10-25T16:24:00.000,A,50,298.683587963,92.6548796877,-34.1411932755,nan,nan,nan,nan,21.6136800702,4.51005040268,1.05475350844,0.0493496999493,0.0084520378135
N2188-1.Q2.B.170110_0747.C.048465.061035N3413.0060.nh.fits,2017-01-10T07:47:00.000,C,51,375.324479167,92.6547359087,-34.1410997074,87.867181379,42.5855452734,19.3061842545,0.0261920253007,22.9016232276,4.39517783017,1.70026659908,0.0234821461972,0.00499971691091
N2188-1.Q2.B.170309_0333.C.060788.061035N3413.0060.nh.fits,2017-03-09T03:33:00.000,C,52,433.148287037,92.6547431009,-34.1411129175,39.8135327001,8.64354134112,20.1697997575,0.12769886706,21.2657050885,3.59721243575,3.0,0.115693320658,0.0177903064425
N2188-1.Q2.B.170305_0159.C.059947.061035N3413.0060.nh.fits,2017-03-05T01:59:00.000,C,53,429.082800926,92.6547708062,-34.141100858,30.363434278,26.4934099886,20.4654114743,0.0418840622884,23.4181158875,4.43733087095,1.26069341361,0.0377452355295,0.00701931482072
N2188-1.Q2.B.170201_2023.S.054100.061035N3413.0060.nh.fits,2017-02-01T20:23:00.000,S,54,397.849386574,92.6547708845,-34.1411169444,40.1893519006,30.4381013523,20.159550074,0.0364767920459,22.6623368922,4.66601951984,1.00820842348,0.0328535603592,0.0062129943044
N2188-1.Q2.B.161115_1715.A.033015.061035N3413.0060.nh.fits,2016-11-15T17:15:00.000,A,55,319.718993056,92.6550160359,-34.1419025375,0.000149190454891,5.52710278525e-05,33.8006394251,19940.690395,20.1423577515,2.07566935064,1.00013178055,18092.6615418,2598.56325441
N2188-1.Q2.B.161119_0206.S.041913.061035N3413.0060.nh.fits,2016-11-19T02:06:00.000,S,56,323.087962963,92.6548677908,-34.1411108652,nan,nan,nan,nan,21.5838156729,2.07566935064,1.00013178055,18092.6615418,2598.56325441
N2188-1.Q2.B.170119_1220.A.042219.061035N3413.0060.nh.fits,2017-01-19T12:20:00.000,A,57,384.514016204,92.6547346794,-34.1410848656,48.8497538189,11.8255406623,19.9466546159,0.0933814890563,21.2647248605,4.60665141271,1.5582728729,0.0845627298196,0.0132640089464
N2188-1.Q2.B.161217_0035.S.046314.061035N3413.0060.nh.fits,2016-12-17T00:35:00.000,S,58,351.024479167,92.6548712334,-34.1411813455,nan,nan,nan,nan,22.82561822,4.60665141271,1.5582728729,0.0845627298196,0.0132640089464
N2188-1.Q2.B.161115_1451.A.032954.061035N3413.0060.nh.fits,2016-11-15T14:51:00.000,A,59,319.618888889,92.6550622642,-34.1410061479,0.201317988274,0.185686976718,25.9377238671,5.93597994337,21.4810481739,1.64474205348,0.913574910915,5.38540730035,0.776658771003
N2188-1.Q2.B.170321_0149.C.063668.061035N3413.0060.nh.fits,2017-03-21T01:49:00.000,C,60,445.076273148,92.6547690467,-34.1410878995,23.1786113537,20.8583656299,20.7599773302,0.0530883547403,23.2370982825,4.7151084251,1.2213690421,0.0479423948042,0.00834119516925
N2188-1.Q2.B.170408_0940.A.052639.061035N3413.0060.nh.fits,2017-04-08T09:40:00.000,A,61,463.402974537,92.6548467199,-34.141122254,nan,nan,nan,nan,20.7936305745,4.7151084251,1.2213690421,0.0479423948042,0.00834119516925
N2188-1.Q2.B.170207_0134.C.053562.061035N3413.0060.nh.fits,2017-02-07T01:34:00.000,C,62,403.065393519,92.6547590817,-34.1411438417,35.682272535,20.141725401,20.289316218,0.0549472935751,21.9940405119,4.43508337032,0.980618107739,0.0496481795919,0.00847640526146
N2188-1.Q2.B.170416_0903.A.054229.061035N3413.0060.nh.fits,2017-04-16T09:03:00.000,A,63,471.377453704,92.6549807473,-34.1413911207,26.4128088777,1.99177124392,20.6174786658,0.553656699511,18.750840879,2.25296925306,0.972892420946,0.502065688042,0.0740740630489
N2188-1.Q2.B.161202_0741.C.040619.061035N3413.0060.nh.fits,2016-12-02T07:41:00.000,C,64,336.320381944,92.6548598097,-34.1411374704,nan,nan,nan,nan,23.3830504118,2.25296925306,0.972892420946,0.502065688042,0.0740740630489
N2188-1.Q2.B.161217_2237.S.046505.061035N3413.0060.nh.fits,2016-12-17T22:37:00.000,S,65,351.942534722,92.654762181,-34.14119961,nan,nan,nan,nan,22.9582357256,2.25296925306,0.972892420946,0.502065688042,0.0740740630489
N2188-1.Q2.B.170327_1920.S.000178.061035N3413.0060.nh.fits,2017-03-27T19:20:00.000,S,66,451.805902778,92.6547570988,-34.1411237806,14.112969821,14.0767219808,21.3012354599,0.0785073285597,22.9631291188,4.45182736438,1.01227908877,0.0710392661988,0.0114901835554
N2188-1.Q2.B.170218_0325.C.056326.061035N3413.0060.nh.fits,2017-02-18T03:25:00.000,C,67,414.142488426,92.6547777817,-34.1411062343,37.2945641725,30.4005700486,20.2411033257,0.0365325489148,23.1347970301,4.77196251051,1.19669558764,0.0328941200248,0.00627335089214
N2188-1.Q2.B.170223_2048.S.057868.061035N3413.0060.nh.fits,2017-02-23T20:48:00.000,S,68,419.867025463,92.654770801,-34.1410962678,32.0146798665,16.2584118143,20.4076398144,0.0680161406057,22.0390846343,4.34696478768,1.03343146911,0.0615066226283,0.0101955447842
N2188-1.Q2.B.161024_1727.A.029381.061035N3413.0060.nh.fits,2016-10-24T17:27:00.000,A,69,297.727743056,92.6550763588,-34.1405417771,2.26601459361,1.47408097326,23.2966570043,0.74776891125,22.4161809297,6.06800367685,0.921540092278,0.678388784701,0.0979984652191
N2188-1.Q2.B.170223_2202.S.057900.061035N3413.0060.nh.fits,2017-02-23T22:02:00.000,S,70,419.918078704,92.6547195005,-34.1411329576,25.5026769635,17.5902242397,20.6557334591,0.0628908845477,22.4444900043,4.41720020908,0.994819666969,0.0568497585008,0.00955977992688
N2188-1.Q2.B.161219_2142.S.046978.061035N3413.0060.nh.fits,2016-12-19T21:42:00.000,S,71,353.904479167,92.6548026742,-34.1411162334,nan,nan,nan,nan,22.0410623964,4.41720020908,0.994819666969,0.0568497585008,0.00955977992688
N2188-1.Q2.B.170223_0100.C.057570.061035N3413.0060.nh.fits,2017-02-23T01:00:00.000,C,72,419.042071759,92.6547563322,-34.1410854073,25.1433040362,17.1590829868,20.6712159774,0.0644399711348,22.2528162376,5.34777707664,0.956475979576,0.0582781726023,0.00962648207761
N2188-1.Q2.B.170211_0226.C.054503.061035N3413.0060.nh.fits,2017-02-11T02:26:00.000,C,73,407.101400463,92.6547125051,-34.1411375661,37.2705924509,23.6166197589,20.2418047766,0.0469336443933,22.6385404811,4.99935647244,0.970687759017,0.0423430622251,0.00760723877239
N2188-1.Q2.B.161221_1127.A.038752.061035N3413.0060.nh.fits,2016-12-21T11:27:00.000,A,74,355.477604167,92.6547848607,-34.1411152481,nan,nan,nan,nan,21.1947172643,4.99935647244,0.970687759017,0.0423430622251,0.00760723877239
N2188-1.Q2.B.170328_2044.S.000449.061035N3413.0060.nh.fits,2017-03-28T20:44:00.000,S,75,452.864571759,92.6547618175,-34.1411013474,16.8144971599,8.89059765289,21.1101589958,0.124119468434,21.8325734476,5.14156197254,0.911720379836,0.112478377612,0.0171089570262
N2188-1.Q2.B.161220_0111.S.047071.061035N3413.0060.nh.fits,2016-12-20T01:11:00.000,S,76,354.04962963,92.6547728836,-34.1412074534,nan,nan,nan,nan,21.0650893426,5.14156197254,0.911720379836,0.112478377612,0.0171089570262
N2188-1.Q2.B.170317_0154.C.062593.061035N3413.0060.nh.fits,2017-03-17T01:54:00.000,C,77,441.079479167,92.6547519695,-34.1410735202,21.9500728182,21.8436605981,20.819389768,0.0507116975959,23.2659551089,4.52757131994,1.05533116729,0.0457798726321,0.00806055729101
N2188-1.Q2.B.161030_0805.C.034222.061035N3413.0060.nh.fits,2016-10-30T08:05:00.000,C,78,303.337025463,92.6548852564,-34.1411373633,nan,nan,nan,nan,23.5888754,4.52757131994,1.05533116729,0.0457798726321,0.00806055729101
N2188-1.Q2.B.161205_0526.C.041291.061035N3413.0060.nh.fits,2016-12-05T05:26:00.000,C,79,339.226921296,92.6546153303,-34.1414635521,0.342981187068,0.87220491835,25.3564779216,1.26451900665,23.7025269168,2.77211152623,0.955961306605,1.1465195609,0.170319868389
N2188-1.Q2.B.170121_2018.S.052067.061035N3413.0060.nh.fits,2017-01-21T20:18:00.000,S,80,386.844664352,92.6547575123,-34.1411056167,51.459512944,27.3745116242,19.8898751465,0.0405145816406,22.2320378167,5.39884571008,1.01520007712,0.0365303320742,0.00668546066961
N2188-1.Q2.B.170331_1052.A.051263.061035N3413.0060.nh.fits,2017-03-31T10:52:00.000,A,81,455.453113426,92.6549225942,-34.1409139721,7.76611671326,2.28313335872,21.9528846833,0.482875895066,20.5973210119,5.78863286484,0.943152519036,0.437994563997,0.0638256913867
N2188-1.Q2.B.170330_2024.S.001045.061035N3413.0060.nh.fits,2017-03-30T20:24:00.000,S,82,454.850150463,92.6547242811,-34.1411005783,11.4587597655,7.30168810743,21.5285232254,0.151079820249,22.011896175,5.39148607982,0.913938382132,0.136954630941,0.0205305786073
N2188-1.Q2.B.170311_1113.A.049000.061035N3413.0060.nh.fits,2017-03-11T11:13:00.000,A,83,435.467881944,92.6547607594,-34.1411510134,37.1218871521,8.85842721163,20.2461662369,0.124609218997,22.4043371414,4.09241497607,3.0,0.112886856336,0.0174072026833
N2188-1.Q2.B.170212_0217.C.054732.061035N3413.0060.nh.fits,2017-02-12T02:17:00.000,C,84,408.095439815,92.6547525286,-34.1411687716,35.3371932138,29.3976521897,20.2999180006,0.0377894768047,23.4391427701,4.90180296913,0.966369601118,0.0340163219003,0.00653903161209
N2188-1.Q2.B.170213_0218.C.054996.061035N3413.0060.nh.fits,2017-02-13T02:18:00.000,C,85,409.095925926,92.6547593867,-34.1411020798,35.2543612389,30.7509754207,20.3024782331,0.0361440130255,23.5931604593,4.70348877366,0.991894939919,0.0325192936588,0.00633624342137
N2188-1.Q2.B.170320_0035.C.063373.061035N3413.0060.nh.fits,2017-03-20T00:35:00.000,C,86,444.024953704,92.6547774764,-34.1410941064,21.8975122179,22.7584484717,20.8220052323,0.0486769161168,23.0927629135,4.87753799112,0.967039354471,0.043939726438,0.00775557692832
