Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.V.161207_1659.A.036515.061035N3413.0060.nh.fits,2016-12-07T16:59:00.000,A,984,706.707743056,92.6535916202,-34.1410530792,6.74967462666,1.71127291825,21.9343281871,0.645014048465,21.2749134046,3.77911305573,1.84959433632,0.584360325775,0.0899446030576
N2188-1.Q2.V.161024_1730.A.029382.061035N3413.0060.nh.fits,2016-10-24T17:30:00.000,A,985,662.729178241,92.6536414349,-34.141046834,1.58985066149,0.593340978295,23.51167957,1.86058443333,21.7180916116,3.50267065691,1.51970128781,1.68537154281,0.261091551105
N2188-1.Q2.V.161212_1656.A.037444.061035N3413.0060.nh.fits,2016-12-12T16:56:00.000,A,986,711.7059375,92.654814337,-34.1411367494,-3.63250265015,-0.394220938762,nan,nan,20.3808727737,5.00169052481,1.40236343485,-2.53664861927,-0.388909724944
N2188-1.Q2.V.161207_0233.C.041706.061035N3413.0060.nh.fits,2016-12-07T02:33:00.000,C,987,706.106840278,92.6548853976,-34.1412050129,-1.80899292954,-0.61714449402,nan,nan,21.660075421,3.9348999994,1.31735503938,-1.6203660726,-0.252169148062
N2188-1.Q2.V.161218_0447.C.043605.061035N3413.0060.nh.fits,2016-12-18T04:47:00.000,C,988,717.199826389,92.6547743799,-34.1412130415,-0.18923453305,-0.124309585235,nan,nan,22.2843373726,2.0068669301,1.42718569219,-8.0444319568,-1.29034151881
N2188-1.Q2.V.161208_0343.C.041988.061035N3413.0060.nh.fits,2016-12-08T03:43:00.000,C,989,707.155115741,92.653481572,-34.1410954233,11.8713192478,2.5121472284,21.318345227,0.439388369225,21.1300403778,5.31641982368,1.47072242374,0.398065841323,0.0613018545868
N2188-1.Q2.V.161205_0753.C.041352.061035N3413.0060.nh.fits,2016-12-05T07:53:00.000,C,990,704.328703704,92.6538472699,-34.1409641103,0.890292093599,0.543877447735,24.1442609941,2.03013726505,22.2863993728,2.66829231077,1.55876138613,1.83864950489,0.286865169806
N2188-1.Q2.V.161225_2051.S.048042.061035N3413.0060.nh.fits,2016-12-25T20:51:00.000,S,991,724.868935185,92.6546791848,-34.1410140969,49.760447161,20.6853474156,19.7549133785,0.0535180004864,21.9246753592,3.98421001248,1.46146050849,0.0483433988277,0.00833360874553
N2188-1.Q2.V.170331_0130.C.000887.061035N3413.0060.nh.fits,2017-03-31T01:30:00.000,C,992,820.062511574,92.6547207725,-34.1410882331,55.0755395569,26.221816176,19.6441982694,0.0422687031571,22.1719889214,2.87575716438,1.65167037056,0.0381361837521,0.00684118094804
N2188-1.Q2.V.161027_0819.C.033415.061035N3413.0060.nh.fits,2016-10-27T08:19:00.000,C,993,665.346608796,92.6548601583,-34.1411605456,-0.6306280294,-0.386789108013,nan,nan,22.3053011854,1.91244737255,2.23797728618,-2.585388211,-0.402511480051
N2188-1.Q2.V.170402_1925.S.001873.061035N3413.0060.nh.fits,2017-04-02T19:25:00.000,S,994,822.809594907,92.6548651088,-34.1411359329,-1068.63402156,-5.3212627248,nan,nan,16.0526804393,6.62405512369,3.0,-0.187925319932,-0.134276713877
