Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2997-1.Q2.I.180311_1517.A.044914.094610N3123.0060.nh.fits,2018-03-11T15:17:00.000,A,55,800.63681713,146.123330464,-31.7282406017,22.3514586261,4.65227476455,20.1186325428,0.234499613029,20.6042326757
N2997-1.Q2.I.180311_1831.S.004625.094610N3123.0060.nh.fits,2018-03-11T18:31:00.000,S,56,800.77181713,146.123340753,-31.7282131525,16.6274826293,3.24851306253,20.4413727129,0.335831151679,20.5228081937
N2997-1.Q2.I.180317_1407.A.046085.094610N3123.0060.nh.fits,2018-03-17T14:07:00.000,A,57,806.58837963,146.123329761,-31.7282214024,71.1632156766,13.5702716948,18.8552229099,0.0803981459431,20.5153408014
N2997-1.Q2.I.180315_0150.C.009718.094610N3123.0060.nh.fits,2018-03-15T01:50:00.000,C,58,804.076516204,146.123326202,-31.7282126085,57.1984240804,15.2511658653,19.0935401207,0.0715379233615,20.884428488
N2997-1.Q2.I.180318_1951.S.005691.094610N3123.0060.nh.fits,2018-03-18T19:51:00.000,S,59,807.827361111,146.123318294,-31.7282145942,75.7649697058,23.2268844221,18.7868641316,0.0469767793938,21.0546720498
N2997-1.Q2.I.180315_1022.A.045505.094610N3123.0060.nh.fits,2018-03-15T10:22:00.000,A,60,804.432164352,146.123324035,-31.7282143532,57.3391943345,11.5308927018,19.0908585028,0.0946161145857,20.5834457901
N2997-1.Q2.I.180313_0150.C.009188.094610N3123.0060.nh.fits,2018-03-13T01:50:00.000,C,61,802.076840278,146.123327191,-31.7282116469,36.2820753797,8.3392697829,19.5901422792,0.13082387989,20.7165630987
N2997-1.Q2.I.180318_1824.S.005657.094610N3123.0060.nh.fits,2018-03-18T18:24:00.000,S,62,807.766967593,146.123325162,-31.7282188994,75.0272258519,20.4088478589,18.7975390397,0.0534615646612,20.8992224332
N2997-1.Q2.I.180317_0029.C.010295.094610N3123.0060.nh.fits,2018-03-17T00:29:00.000,C,63,806.020729167,146.123332003,-31.7282159489,63.7820773108,13.345452153,18.9746858549,0.0817524703552,20.6306335153
N2997-1.Q2.I.180319_2317.S.006068.094610N3123.0060.nh.fits,2018-03-19T23:17:00.000,S,64,808.970289352,146.12333225,-31.7282146418,72.2997178983,17.4090352212,18.8379377418,0.0626715166322,20.7641090579
N2997-1.Q2.I.180311_0035.C.008554.094610N3123.0060.nh.fits,2018-03-11T00:35:00.000,C,65,800.024513889,146.12332526,-31.7281968828,19.1042865998,3.92816417125,20.2898882562,0.277726269632,20.5922129433
N2997-1.Q2.I.180309_1541.A.044376.094610N3123.0060.nh.fits,2018-03-09T15:41:00.000,A,66,798.653483796,146.123346955,-31.728300504,-24.5591037398,-3.58494115227,nan,nan,20.2031600752
N2997-1.Q2.I.180311_0521.C.008679.094610N3123.0060.nh.fits,2018-03-11T05:21:00.000,C,67,800.223356481,146.123329794,-31.7281974024,12.5970206372,2.51984222329,20.7442160717,0.432943882518,20.5466112478
N2997-1.Q2.I.180317_1827.S.005426.094610N3123.0060.nh.fits,2018-03-17T18:27:00.000,S,68,806.768912037,146.123330631,-31.7282125307,59.2592866627,11.4319526161,19.0549247625,0.0954337702403,20.5451126478
N2997-1.Q2.I.180319_0348.C.010983.094610N3123.0060.nh.fits,2018-03-19T03:48:00.000,C,69,808.158541667,146.12332258,-31.7282153858,79.4932180525,20.5534447908,18.7344597307,0.0530865722252,20.8718528072
N2997-1.Q2.I.180311_1232.A.044839.094610N3123.0060.nh.fits,2018-03-11T12:32:00.000,A,70,800.522581019,146.123316598,-31.7282336178,10.2757384158,1.9133279217,20.9664145311,0.570184319871,20.478368343
N2997-1.Q2.I.180315_0328.C.009765.094610N3123.0060.nh.fits,2018-03-15T03:28:00.000,C,71,804.14494213,146.123323781,-31.7282281441,56.7812914691,14.9096033493,19.1015252593,0.0731766336859,20.8606684301
N2997-1.Q2.I.180319_1821.S.005940.094610N3123.0060.nh.fits,2018-03-19T18:21:00.000,S,72,808.764918981,146.123323223,-31.7282246088,71.3396211072,17.7878695131,18.8525219223,0.0613371962154,20.8271963763
