Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N300-1.Q2.B.171210_1958.S.055502.005606N3754.0060.nh.fits,2017-12-10T19:58:00.000,S,0,709.832604167,13.6771926595,-37.6201617401,12.8391677916,8.62919251116,21.3419850529,0.127024419421,22.516444557
N300-1.Q2.B.171125_1946.S.052784.005606N3754.0060.nh.fits,2017-11-25T19:46:00.000,S,1,694.823877315,13.6773027144,-37.6202985567,-3.06736804788,-1.01347579556,nan,nan,21.7008710752
N300-1.Q2.B.171225_1917.S.057899.005606N3754.0060.nh.fits,2017-12-25T19:17:00.000,S,2,724.80380787,13.6770673527,-37.6202788294,8.16406531485,2.62757357236,21.8359206278,0.415535684773,21.6670962792
N300-1.Q2.B.171213_1133.A.032815.005606N3754.0060.nh.fits,2017-12-13T11:33:00.000,A,3,712.481400463,13.6771268067,-37.6201516957,9.40002256265,5.58825012009,21.682129895,0.195646797797,22.3534967439
N300-1.Q2.B.171206_1922.S.054706.005606N3754.0060.nh.fits,2017-12-06T19:22:00.000,S,4,705.807013889,13.6772181167,-37.6202092654,31.849152014,18.331896164,20.3508478231,0.0608098791467,22.4121203938
N300-1.Q2.B.171202_2030.S.054095.005606N3754.0060.nh.fits,2017-12-02T20:30:00.000,S,5,701.854571759,13.6771743952,-37.6200653671,27.243009328,4.375573311,20.5212689231,0.250281040172,20.9295641016
N300-1.Q2.B.171212_1915.S.055948.005606N3754.0060.nh.fits,2017-12-12T19:15:00.000,S,6,711.802141204,13.6771328414,-37.6202484033,11.4313144535,7.54923192549,21.468692099,0.145056858732,22.4949588285
N300-1.Q2.B.171211_1144.A.032363.005606N3754.0060.nh.fits,2017-12-11T11:44:00.000,A,7,710.488888889,13.6771415324,-37.6202047904,18.0078225184,10.2337042731,20.9729111432,0.107406208701,22.3538431577
N300-1.Q2.B.171205_1025.A.031508.005606N3754.0060.nh.fits,2017-12-05T10:25:00.000,A,8,704.434212963,13.6772096425,-37.6201878465,28.3090575931,14.9142684387,20.479393047,0.0742729515459,22.1598631505
N300-1.Q2.B.171227_1059.A.034381.005606N3754.0060.nh.fits,2017-12-27T10:59:00.000,A,9,726.458055556,13.6771909194,-37.6201822344,8.09077802095,2.59190804562,21.8457580834,0.421232126361,21.6214204545
N300-1.Q2.B.171201_1956.S.053881.005606N3754.0060.nh.fits,2017-12-01T19:56:00.000,S,10,700.831134259,13.6770795853,-37.6201342826,37.1620423277,5.71783440421,20.1825395528,0.192054421318,20.867326075
N300-1.Q2.B.171208_2040.S.055062.005606N3754.0060.nh.fits,2017-12-08T20:40:00.000,S,11,707.861550926,13.6772140979,-37.6201864611,18.4608074307,10.6528705275,20.9458079433,0.103324203037,22.2581580157
N300-1.Q2.B.171210_1912.S.055481.005606N3754.0060.nh.fits,2017-12-10T19:12:00.000,S,12,709.800625,13.6771563706,-37.6202013202,13.2843644333,8.00908309198,21.3047976394,0.136807336165,22.3934739403
N300-1.Q2.B.171121_0155.C.051718.005606N3754.0060.nh.fits,2017-11-21T01:55:00.000,C,13,690.080474537,13.6773273297,-37.6201896613,nan,nan,nan,nan,22.7834168927
N300-1.Q2.B.171225_1048.A.034208.005606N3754.0060.nh.fits,2017-12-25T10:48:00.000,A,14,724.450578704,13.6771945375,-37.6202001237,nan,nan,nan,nan,20.8744748755
N300-1.Q2.B.171123_1210.A.030385.005606N3754.0060.nh.fits,2017-11-23T12:10:00.000,A,15,692.507222222,13.6772569552,-37.6202300223,-2.74495631249,-2.02083735699,nan,nan,22.4782985304
N300-1.Q2.B.171226_0201.C.057720.005606N3754.0060.nh.fits,2017-12-26T02:01:00.000,C,16,725.084641204,13.6772588066,-37.6201819618,9.89823716789,4.64608803063,21.6257883486,0.23530798166,22.086832884
N300-1.Q2.B.171225_1042.A.034205.005606N3754.0060.nh.fits,2017-12-25T10:42:00.000,A,17,724.446064815,13.6764105479,-37.6202650893,7.12302822072,1.18154609795,21.9847360434,0.923561549033,20.8383581589
N300-1.Q2.B.171124_0049.C.052367.005606N3754.0060.nh.fits,2017-11-24T00:49:00.000,C,18,693.034525463,13.677260048,-37.6202000493,nan,nan,nan,nan,22.5623159486
N300-1.Q2.B.171121_0057.C.051695.005606N3754.0060.nh.fits,2017-11-21T00:57:00.000,C,19,690.040243056,13.6773109093,-37.620274285,-1.7411111085,-1.12453634122,nan,nan,22.2017743127
N300-1.Q2.B.171204_1104.A.031301.005606N3754.0060.nh.fits,2017-12-04T11:04:00.000,A,20,703.461261574,13.6772686902,-37.6201703335,27.3783000548,6.19695314847,20.5158646069,0.177161458256,21.3075855318
N300-1.Q2.B.171126_0138.C.052885.005606N3754.0060.nh.fits,2017-11-26T01:38:00.000,C,21,695.068460648,13.6772949919,-37.6202776258,-3.85185642236,-1.92307045709,nan,nan,22.1685088631
N300-1.Q2.B.171229_0150.C.058403.005606N3754.0060.nh.fits,2017-12-29T01:50:00.000,C,22,728.076770833,13.6772007167,-37.6201851004,8.69579415427,3.1777355574,21.7670848442,0.34376086997,21.7980428908
N300-1.Q2.B.171206_1148.A.031749.005606N3754.0060.nh.fits,2017-12-06T11:48:00.000,A,23,705.491701389,13.6771515656,-37.6201046033,28.5098537306,3.56215672998,20.471682269,0.307176480349,20.6808036637
N300-1.Q2.B.171209_1901.S.055265.005606N3754.0060.nh.fits,2017-12-09T19:01:00.000,S,24,708.792534722,13.6768729997,-37.6203492757,10.5384685463,3.43901645056,21.5574125927,0.317639117318,21.6296743689
