Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N300-1.Q2.V.171225_1044.A.034206.005606N3754.0060.nh.fits,2017-12-25T10:44:00.000,A,276,724.447488426,13.6773075114,-37.6202745602,nan,nan,nan,nan,20.390969003
N300-1.Q2.V.171121_1043.A.030101.005606N3754.0060.nh.fits,2017-11-21T10:43:00.000,A,277,690.447106481,13.6772980325,-37.6202119313,nan,nan,nan,nan,21.6523686186
N300-1.Q2.V.171228_0123.C.058159.005606N3754.0060.nh.fits,2017-12-28T01:23:00.000,C,278,727.057708333,13.6771649259,-37.6201134849,7.56177461244,1.77996444042,21.7867523086,0.61295732328,21.1499997595
N300-1.Q2.V.171203_1110.A.031163.005606N3754.0060.nh.fits,2017-12-03T11:10:00.000,A,279,702.465648148,13.6771914232,-37.6201461505,48.4768149256,6.09379457049,19.7597935118,0.179324908437,20.5106789601
N300-1.Q2.V.171121_0157.C.051719.005606N3754.0060.nh.fits,2017-11-21T01:57:00.000,C,280,690.081828704,13.6771992263,-37.6202753081,-1.58396681567,-0.951392418531,nan,nan,21.6814214735
N300-1.Q2.V.171120_1040.A.030006.005606N3754.0060.nh.fits,2017-11-20T10:40:00.000,A,281,689.444803241,13.6772980174,-37.6202224184,-3.54654115374,-1.66951203385,nan,nan,21.6173620705
N300-1.Q2.V.171205_1115.A.031530.005606N3754.0060.nh.fits,2017-12-05T11:15:00.000,A,282,704.468784722,13.6771874029,-37.6201389078,43.007723861,10.0133628813,19.8903864108,0.10922374376,21.190074888
N300-1.Q2.V.171215_1928.S.056490.005606N3754.0060.nh.fits,2017-12-15T19:28:00.000,S,283,714.811400463,13.6772182472,-37.6201948488,16.3283753321,7.27632118384,20.9469423623,0.150167579659,21.7433075014
N300-1.Q2.V.171124_1955.S.052574.005606N3754.0060.nh.fits,2017-11-24T19:55:00.000,S,284,693.830393519,13.6773109944,-37.6202758226,-5.63876469403,-1.84949540763,nan,nan,21.5148954805
N300-1.Q2.V.171204_1011.A.031281.005606N3754.0060.nh.fits,2017-12-04T10:11:00.000,A,285,703.424953704,13.6771916791,-37.6201751542,35.2271341999,6.34862416474,20.1080993024,0.172055861875,20.9309842138
N300-1.Q2.V.171203_1906.S.054252.005606N3754.0060.nh.fits,2017-12-03T19:06:00.000,S,286,702.795949074,13.6772077959,-37.6201308954,43.4814286942,7.06650040553,19.8784359554,0.154680088949,20.7547939598
N300-1.Q2.V.171120_1943.S.052027.005606N3754.0060.nh.fits,2017-11-20T19:43:00.000,S,287,689.821863426,13.6772267767,-37.6202183974,-14.3547967543,-0.627889024318,nan,nan,19.3907095392
N300-1.Q2.V.171211_1105.A.032345.005606N3754.0060.nh.fits,2017-12-11T11:05:00.000,A,288,710.462199074,13.6771921501,-37.6202217427,19.9316770744,6.87682201694,20.729400983,0.158804639412,21.6042414334
N300-1.Q2.V.171211_2007.S.055727.005606N3754.0060.nh.fits,2017-12-11T20:07:00.000,S,289,710.838252315,13.677112264,-37.6202005764,17.2182253948,5.81334858896,20.8890522825,0.187780351459,21.6399249933
N300-1.Q2.V.171215_1201.A.033249.005606N3754.0060.nh.fits,2017-12-15T12:01:00.000,A,290,714.501319444,13.6772738064,-37.6202261626,nan,nan,nan,nan,20.8415292878
N300-1.Q2.V.171229_0118.C.058387.005606N3754.0060.nh.fits,2017-12-29T01:18:00.000,C,291,728.054270833,13.6771748404,-37.620151245,8.1709069337,2.09361947075,21.7022322118,0.521147687938,21.2582099032
N300-1.Q2.V.171124_1906.S.052552.005606N3754.0060.nh.fits,2017-11-24T19:06:00.000,S,292,693.796273148,13.6773122195,-37.62025541,-4.80464629925,-1.69604124947,nan,nan,21.6574514118
N300-1.Q2.V.171123_2001.S.052369.005606N3754.0060.nh.fits,2017-11-23T20:01:00.000,S,293,692.834363426,13.6771978424,-37.6202072007,nan,nan,nan,nan,21.8234512952
N300-1.Q2.V.171202_2034.S.054097.005606N3754.0060.nh.fits,2017-12-02T20:34:00.000,S,294,701.857418981,13.6772176065,-37.6201907798,53.4971533012,7.75715413437,19.6522884645,0.140982564547,20.6942239472
N300-1.Q2.V.171203_1953.S.054274.005606N3754.0060.nh.fits,2017-12-03T19:53:00.000,S,295,702.828726852,13.6771886287,-37.620090259,37.1720094003,5.98876271924,20.0494724266,0.18240649921,20.7794386922
N300-1.Q2.V.171205_1027.A.031509.005606N3754.0060.nh.fits,2017-12-05T10:27:00.000,A,296,704.435891204,13.6772011822,-37.6201822196,40.2990866002,12.8485649123,19.9613535655,0.0851785566947,21.5728780177
N300-1.Q2.V.171206_1924.S.054707.005606N3754.0060.nh.fits,2017-12-06T19:24:00.000,S,297,705.808506944,13.6772335472,-37.6201736943,46.1872787453,16.2042032953,19.812574908,0.0676645427558,21.6976599017
N300-1.Q2.V.171120_1853.S.052006.005606N3754.0060.nh.fits,2017-11-20T18:53:00.000,S,298,689.787407407,13.6772839326,-37.6202550043,-8.75851092096,-2.28716572716,nan,nan,21.3037738245
N300-1.Q2.V.171125_2034.S.052806.005606N3754.0060.nh.fits,2017-11-25T20:34:00.000,S,299,694.857615741,13.6772945285,-37.6202052923,-4.494853926,-1.32054197769,nan,nan,21.4470605172
N300-1.Q2.V.171209_2030.S.055306.005606N3754.0060.nh.fits,2017-12-09T20:30:00.000,S,300,708.854803241,13.6770329411,-37.6202191677,18.2394826651,5.20696260461,20.8261916744,0.209626143808,21.4509244915
N300-1.Q2.V.171124_0051.C.052368.005606N3754.0060.nh.fits,2017-11-24T00:51:00.000,C,301,693.036053241,13.6772250582,-37.6202810759,-2.29593657751,-1.12836360814,nan,nan,21.5465275204
N300-1.Q2.V.171210_2040.S.055521.005606N3754.0060.nh.fits,2017-12-10T20:40:00.000,S,302,709.86150463,13.6770192869,-37.6201781327,10.6090479162,3.06891074928,21.4173559706,0.355548310634,21.44229903
N300-1.Q2.V.171128_0134.C.053307.005606N3754.0060.nh.fits,2017-11-28T01:34:00.000,C,303,697.065486111,13.677225246,-37.6201677877,34.9594288034,8.78468562549,20.1164215225,0.124438834627,21.288968671
N300-1.Q2.V.171203_1016.A.031141.005606N3754.0060.nh.fits,2017-12-03T10:16:00.000,A,304,702.427928241,13.6769566792,-37.6200919783,35.5501150564,3.77848045652,20.0981424961,0.288927763779,20.3463612465
