wavelength,flux
3359.607178,8.811266E-17
3363.677489,1.243715E-16
3367.747801,3.163146E-16
3371.818112,2.848272E-16
3375.888424,1.407138E-16
3379.958735,2.40098e-16
3384.029047,3.816788E-16
3388.099358,2.784915E-16
3392.16967,1.911436E-16
3396.239981,2.907449E-16
3400.310293,2.619587E-16
3404.380604,3.643611E-16
3408.450916,2.863356E-16
3412.521227,2.041014E-16
3416.591539,1.267747E-16
3420.66185,3.117852E-16
3424.732162,2.539398E-16
3428.802473,2.52816e-16
3432.872785,3.201556E-16
3436.943096,2.760982E-16
3441.013408,2.989652E-16
3445.083719,2.442308E-16
3449.154031,2.735651E-16
3453.224342,2.140015E-16
3457.294654,7.536929E-17
3461.364965,2.143385E-16
3465.435277,3.044541E-16
3469.505588,4.081019E-16
3473.5759,4.837464E-16
3477.646211,5.359914E-16
3481.716523,3.388987E-16
3485.786834,3.086347E-16
3489.857146,3.029685E-16
3493.927457,3.495655E-16
3497.997769,2.897162E-16
3502.06808,3.120153E-16
3506.138392,5.0485e-16
3510.208703,4.113605E-16
3514.279015,4.147843E-16
3518.349326,3.444835E-16
3522.419637,2.610572E-16
3526.489949,3.576929E-16
3530.56026,4.798894E-16
3534.630572,3.228138E-16
3538.700883,3.737968E-16
3542.771195,3.450888E-16
3546.841506,1.809044E-16
3550.911818,2.418755E-16
3554.982129,1.460762E-16
3559.052441,2.721562E-16
3563.122752,2.694878E-16
3567.193064,1.992699E-16
3571.263375,3.317519E-16
3575.333687,3.690164E-16
3579.403998,3.303826E-16
3583.47431,2.509731E-16
3587.544621,2.636736E-16
3591.614933,2.858379E-16
3595.685244,4.054106E-16
3599.755556,3.367479E-16
3603.825867,2.893902E-16
3607.896179,3.363406E-16
3611.96649,4.110387E-16
3616.036802,2.986466E-16
3620.107113,3.89769e-16
3624.177425,3.450023E-16
3628.247736,3.058915E-16
3632.318048,3.629026E-16
3636.388359,3.92329e-16
3640.458671,3.863034E-16
3644.528982,4.334199E-16
3648.599294,4.608037E-16
3652.669605,3.61051e-16
3656.739917,3.475492E-16
3660.810228,2.684733E-16
3664.88054,3.343484E-16
3668.950851,4.433165E-16
3673.021163,5.395831E-16
3677.091474,4.701648E-16
3681.161786,4.300015E-16
3685.232097,3.924394E-16
3689.302409,4.01601e-16
3693.37272,3.627589E-16
3697.443032,3.782585E-16
3701.513343,3.533208E-16
3705.583655,3.575945E-16
3709.653966,3.28671e-16
3713.724278,2.635545E-16
3717.794589,2.709891E-16
3721.864901,2.65749e-16
3725.935212,2.651554E-16
3730.005524,2.973599E-16
3734.075835,3.695932E-16
3738.146147,4.280285E-16
3742.216458,4.628875E-16
3746.28677,4.698279E-16
3750.357081,5.304768E-16
3754.427393,6.562366E-16
3758.497704,7.170391E-16
3762.568016,6.647511E-16
3766.638327,6.932157E-16
3770.708639,6.972502E-16
3774.77895,7.032361E-16
3778.849262,7.752438E-16
3782.919573,6.96309e-16
3786.989885,7.171575E-16
3791.060196,7.079498E-16
3795.130508,6.132735E-16
3799.200819,5.551224E-16
3803.271131,5.4424e-16
3807.341442,4.672942E-16
3811.411754,4.515461E-16
3815.482065,4.807479E-16
3819.552377,4.187644E-16
3823.622688,5.087767E-16
3827.693,5.968623E-16
3831.763311,5.668373E-16
3835.833623,6.521634E-16
3839.903934,5.939777E-16
3843.974246,5.311434E-16
3848.044557,5.711615E-16
