wavelength,flux
6006.745456,0.0
6010.96113,3.41107e-16
6015.176803,3.18034e-16
6019.392476,3.55833e-16
6023.608149,3.23495e-16
6027.823822,3.18564e-16
6032.039495,3.40732e-16
6036.255168,3.27188e-16
6040.470841,3.22294e-16
6044.686514,3.21008e-16
6048.902187,3.09689e-16
6053.11786,3.07586e-16
6057.333533,3.18311e-16
6061.549206,3.08845e-16
6065.764879,3.02124e-16
6069.980553,3.09098e-16
6074.196226,3.08638e-16
6078.411899,2.90929e-16
6082.627572,2.93861e-16
6086.843245,3.11341e-16
6091.058918,3.03237e-16
6095.274591,2.98173e-16
6099.490264,3.08749e-16
6103.705937,3.04989e-16
6107.92161,2.94203e-16
6112.137283,2.96154e-16
6116.352956,2.65469e-16
6120.568629,2.9389e-16
6124.784303,2.9868e-16
6128.999976,2.66284e-16
6133.215649,2.80137e-16
6137.431322,2.83784e-16
6141.646995,2.88753e-16
6145.862668,2.90291e-16
6150.078341,2.71874e-16
6154.294014,2.7898e-16
6158.509687,2.89419e-16
6162.72536,2.88568e-16
6166.941033,2.86132e-16
6171.156706,2.74027e-16
6175.372379,2.58339e-16
6179.588052,2.95222e-16
6183.803726,2.91315e-16
6188.019399,2.81935e-16
6192.235072,2.6654e-16
6196.450745,2.81763e-16
6200.666418,2.89053e-16
6204.882091,2.82947e-16
6209.097764,2.84331e-16
6213.313437,2.85489e-16
6217.52911,2.87675e-16
6221.744783,2.81513e-16
6225.960456,3.02257e-16
6230.176129,3.11651e-16
6234.391802,2.83927e-16
6238.607476,3.04758e-16
6242.823149,2.97843e-16
6247.038822,3.09525e-16
6251.254495,2.78523e-16
6255.470168,2.74167e-16
6259.685841,2.64414e-16
6263.901514,2.91255e-16
6268.117187,2.70407e-16
6272.33286,2.82489e-16
6276.548533,2.77138e-16
6280.764206,2.81027e-16
6284.979879,2.72671e-16
6289.195552,2.51725e-16
6293.411225,2.64214e-16
6297.626899,2.50017e-16
6301.842572,2.7163e-16
6306.058245,2.82484e-16
6310.273918,2.91542e-16
6314.489591,2.85282e-16
6318.705264,3.08036e-16
6322.920937,2.97502e-16
6327.13661,2.94438e-16
6331.352283,2.77225e-16
6335.567956,2.97924e-16
6339.783629,3.17501e-16
6343.999302,2.91291e-16
6348.214975,3.19635e-16
6352.430649,2.83433e-16
6356.646322,2.88414e-16
6360.861995,2.73851e-16
6365.077668,3.09383e-16
6369.293341,3.20154e-16
6373.509014,3.17496e-16
6377.724687,3.007e-16
6381.94036,2.80452e-16
6386.156033,2.93071e-16
6390.371706,2.98857e-16
6394.587379,2.88588e-16
6398.803052,2.87359e-16
6403.018725,2.73045e-16
6407.234398,2.67158e-16
6411.450072,2.49451e-16
6415.665745,2.72138e-16
6419.881418,2.54723e-16
6424.097091,2.47311e-16
6428.312764,2.23313e-16
6432.528437,2.03183e-16
6436.74411,2.02922e-16
6440.959783,1.85416e-16
6445.175456,1.95906e-16
6449.391129,1.75524e-16
6453.606802,1.5293e-16
6457.822475,1.43001e-16
6462.038148,1.39896e-16
6466.253822,1.35433e-16
6470.469495,1.35863e-16
6474.685168,1.2342e-16
6478.900841,1.35793e-16
6483.116514,1.32128e-16
6487.332187,1.31175e-16
6491.54786,1.31025e-16
6495.763533,1.27723e-16
6499.979206,1.242e-16
6504.194879,1.36609e-16
6508.410552,1.34338e-16
6512.626225,1.62206e-16
6516.841898,1.70511e-16
6521.057571,1.74129e-16
6525.273245,1.82284e-16
6529.488918,1.97131e-16
6533.704591,2.31913e-16
6537.920264,2.5414e-16
6542.135937,2.80035e-16
6546.35161,3.11062e-16
6550.567283,3.30936e-16
6554.782956,3.72525e-16
6558.998629,4.07593e-16
6563.214302,4.39264e-16
6567.429975,4.69256e-16
6571.645648,5.14422e-16
6575.861321,5.48099e-16
6580.076995,5.95228e-16
6584.292668,6.29591e-16
6588.508341,6.53042e-16
6592.724014,6.91347e-16
6596.939687,7.25234e-16
6601.15536,7.36855e-16
6605.371033,7.85518e-16
6609.586706,7.95966e-16
6613.802379,8.16765e-16
6618.018052,8.19779e-16
6622.233725,8.71537e-16
6626.449398,8.58341e-16
6630.665071,9.36404e-16
6634.880744,9.69594e-16
6639.096418,9.71494e-16
6643.312091,9.50297e-16
6647.527764,8.89618e-16
6651.743437,8.67483e-16
6655.95911,8.62247e-16
6660.174783,8.41867e-16
6664.390456,8.1727e-16
6668.606129,8.03863e-16
6672.821802,7.67277e-16
6677.037475,7.5036e-16
6681.253148,7.32064e-16
6685.468821,7.06997e-16
6689.684494,6.93286e-16
6693.900167,7.01295e-16
6698.115841,6.65489e-16
6702.331514,6.51103e-16
6706.547187,6.35596e-16
6710.76286,6.05858e-16
6714.978533,6.13082e-16
6719.194206,5.89274e-16
6723.409879,5.55889e-16
6727.625552,5.68091e-16
6731.841225,5.57851e-16
6736.056898,5.39915e-16
6740.272571,5.26869e-16
6744.488244,5.06846e-16
6748.703917,4.90638e-16
6752.919591,4.99015e-16
6757.135264,4.74321e-16
6761.350937,4.78579e-16
6765.56661,4.57992e-16
6769.782283,4.61491e-16
6773.997956,4.52724e-16
6778.213629,4.3412e-16
6782.429302,4.18027e-16
6786.644975,4.3024e-16
6790.860648,4.26414e-16
6795.076321,4.04504e-16
6799.291994,3.9788e-16
6803.507667,3.83234e-16
6807.72334,3.63059e-16
6811.939014,3.6881e-16
6816.154687,3.73696e-16
6820.37036,3.50007e-16
6824.586033,3.30342e-16
6828.801706,3.0226e-16
6833.017379,3.1751e-16
6837.233052,3.07567e-16
6841.448725,2.98043e-16
6845.664398,3.06478e-16
6849.880071,3.15892e-16
6854.095744,3.1062e-16
6858.311417,2.99527e-16
6862.52709,2.60203e-16
6866.742764,2.54226e-16
6870.958437,2.52546e-16
6875.17411,2.8732e-16
6879.389783,2.90108e-16
6883.605456,2.77961e-16
6887.821129,2.84378e-16
6892.036802,2.50977e-16
6896.252475,2.81947e-16
6900.468148,2.91114e-16
6904.683821,2.68714e-16
6908.899494,2.72343e-16
6913.115167,2.80025e-16
6917.33084,2.59417e-16
6921.546513,2.79463e-16
6925.762187,2.56443e-16
6929.97786,2.59902e-16
6934.193533,2.57216e-16
6938.409206,2.53954e-16
6942.624879,2.69539e-16
6946.840552,2.61581e-16
6951.056225,2.48222e-16
6955.271898,2.65533e-16
6959.487571,2.52507e-16
6963.703244,2.40735e-16
6967.918917,2.45345e-16
6972.13459,2.5114e-16
6976.350263,2.67845e-16
6980.565937,2.39473e-16
6984.78161,2.4396e-16
6988.997283,2.47406e-16
6993.212956,2.38196e-16
6997.428629,2.41672e-16
7001.644302,2.40235e-16
7005.859975,2.50434e-16
7010.075648,2.40831e-16
7014.291321,2.34345e-16
7018.506994,2.26701e-16
7022.722667,2.32806e-16
7026.93834,2.32063e-16
7031.154013,2.3861e-16
7035.369686,2.38729e-16
7039.58536,2.48877e-16
7043.801033,2.66075e-16
7048.016706,2.30822e-16
7052.232379,2.27194e-16
7056.448052,2.26636e-16
7060.663725,2.38963e-16
7064.879398,2.57551e-16
7069.095071,2.37344e-16
7073.310744,2.30771e-16
7077.526417,2.53785e-16
7081.74209,2.42993e-16
7085.957763,2.49172e-16
7090.173436,2.55648e-16
7094.389109,2.68686e-16
7098.604783,2.5163e-16
7102.820456,2.53861e-16
7107.036129,2.58069e-16
7111.251802,2.69282e-16
7115.467475,2.66986e-16
7119.683148,2.6299e-16
7123.898821,2.63872e-16
7128.114494,2.5188e-16
7132.330167,2.66741e-16
7136.54584,2.66028e-16
7140.761513,2.54258e-16
7144.977186,2.66197e-16
7149.192859,2.67974e-16
7153.408533,2.3878e-16
7157.624206,2.53045e-16
7161.839879,2.41193e-16
7166.055552,2.23127e-16
7170.271225,2.12889e-16
7174.486898,2.30322e-16
7178.702571,2.41047e-16
7182.918244,2.2285e-16
7187.133917,2.23829e-16
7191.34959,2.32214e-16
7195.565263,2.22764e-16
7199.780936,2.43731e-16
7203.996609,2.51826e-16
7208.212282,2.54095e-16
7212.427956,2.34757e-16
7216.643629,2.30905e-16
7220.859302,2.17906e-16
7225.074975,2.12402e-16
7229.290648,2.1815e-16
7233.506321,2.29893e-16
7237.721994,2.34003e-16
7241.937667,2.34225e-16
7246.15334,2.24276e-16
7250.369013,2.16184e-16
7254.584686,2.25954e-16
7258.800359,2.15901e-16
7263.016032,2.29878e-16
7267.231706,2.4637e-16
7271.447379,2.28368e-16
